date,time,age,confirmed,deceaed
4/6/2020,0,40,1375,2
4/6/2020,0,50,1906,13
4/6/2020,0,60,1294,26
4/6/2020,0,70,686,52
4/6/2020,0,80,465,92
4/7/2020,0,0,126,0
4/7/2020,0,10,544,0
4/7/2020,0,20,2819,0
4/7/2020,0,30,1092,1
4/7/2020,0,40,1382,2
4/7/2020,0,50,1909,13
4/7/2020,0,60,1304,26
4/7/2020,0,70,689,57
4/7/2020,0,80,466,93
